Mandalay;23.2
Cairns;18.8
Fresno;1.6
Abidjan;35.8
Porto;30.3
Nouadhibou;23.0
Wau;16.5
Frankfurt;-0.6
Baghdad;19.7
Hamilton;15.4
Hat Yai;16.4
Phoenix;17.6
Suwałki;5.4
Praia;36.6
Cracow;-12.9
Petropavlovsk-Kamchatsky;-10.2
Marseille;32.8
Monterrey;27.8
Minsk;11.1
Hamburg;14.7
Abha;22.4
Copenhagen;0.1
Khartoum;25.0
Hiroshima;18.3
Sarajevo;16.4
Atlanta;27.1
Conakry;35.8
St. Louis;5.7
Bishkek;-3.9
Alexandra;16.6
New York City;20.4
Los Angeles;11.1
Ottawa;0.0
Harbin;6.6
Hat Yai;37.3
Roseau;18.1
Sokoto;32.6
Kyiv;20.9
Yerevan;3.6
Wrocław;-1.4
Bratislava;15.2
Riga;13.1
Mexicali;16.0
San Juan;32.1
Saint-Pierre;-10.8
Oslo;-5.0
Nouakchott;48.8
Nouakchott;19.0
Edinburgh;5.2
Ouahigouya;26.2
Conakry;30.6
Accra;5.7
Tampa;12.2
Antananarivo;37.1
Ouagadougou;32.3
Addis Ababa;31.7
Prague;3.8
Nairobi;11.8
Addis Ababa;7.5
Chicago;28.4
La Ceiba;27.8
Bucharest;11.6
San Juan;9.8
Da Nang;9.1
Bratislava;17.6
Chicago;24.4
Auckland;6.1
Zagreb;11.4
Edmonton;12.3
Sana'a;9.2
Toluca;4.5
Bissau;24.5
Ottawa;20.4
Portland (OR);5.2
Yerevan;10.0
Hamilton;24.7
Nouadhibou;17.9
Lagos;33.1
Almaty;-5.3
Addis Ababa;29.6
Seattle;2.6
Kano;11.1
Baguio;26.9
Yinchuan;22.1
Valencia;4.8
Seattle;7.6
Guangzhou;9.0
Bujumbura;33.0
Batumi;6.0
Ifrane;17.7
Dunedin;11.7
Kano;31.9
Durban;16.0
Stockholm;3.8
Da Lat;3.6
Valencia;18.8
San Jose;13.9
Hong Kong;28.3
George Town;26.4
Zagreb;20.8
